[2019-12-04 10:26:23] app.ERROR: Class "AdminLinkWidgetController" not found in controllers/admin [] []
[2019-12-04 10:26:31] app.INFO: Exporting mail with theme modern for language Polski (Polish) [] []
[2019-12-04 10:26:31] app.INFO: Core output folder: /opt/bitnami/prestashop/mails [] []
[2019-12-04 10:26:31] app.INFO: Modules output folder: /opt/bitnami/prestashop/modules/ [] []
[2019-12-04 10:26:31] app.INFO: Generate html template account at /opt/bitnami/prestashop/mails/pl/account.html [] []
[2019-12-04 10:26:31] app.INFO: Generate txt template account at /opt/bitnami/prestashop/mails/pl/account.txt [] []
[2019-12-04 10:26:31] app.INFO: Generate html template backoffice_order at /opt/bitnami/prestashop/mails/pl/backoffice_order.html [] []
[2019-12-04 10:26:31] app.INFO: Generate txt template backoffice_order at /opt/bitnami/prestashop/mails/pl/backoffice_order.txt [] []
[2019-12-04 10:26:31] app.INFO: Generate html template bankwire at /opt/bitnami/prestashop/mails/pl/bankwire.html [] []
[2019-12-04 10:26:31] app.INFO: Generate txt template bankwire at /opt/bitnami/prestashop/mails/pl/bankwire.txt [] []
[2019-12-04 10:26:31] app.INFO: Generate html template cheque at /opt/bitnami/prestashop/mails/pl/cheque.html [] []
[2019-12-04 10:26:31] app.INFO: Generate txt template cheque at /opt/bitnami/prestashop/mails/pl/cheque.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template contact at /opt/bitnami/prestashop/mails/pl/contact.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template contact at /opt/bitnami/prestashop/mails/pl/contact.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template contact_form at /opt/bitnami/prestashop/mails/pl/contact_form.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template contact_form at /opt/bitnami/prestashop/mails/pl/contact_form.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template credit_slip at /opt/bitnami/prestashop/mails/pl/credit_slip.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template credit_slip at /opt/bitnami/prestashop/mails/pl/credit_slip.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template download_product at /opt/bitnami/prestashop/mails/pl/download_product.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template download_product at /opt/bitnami/prestashop/mails/pl/download_product.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template employee_password at /opt/bitnami/prestashop/mails/pl/employee_password.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template employee_password at /opt/bitnami/prestashop/mails/pl/employee_password.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template forward_msg at /opt/bitnami/prestashop/mails/pl/forward_msg.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template forward_msg at /opt/bitnami/prestashop/mails/pl/forward_msg.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template guest_to_customer at /opt/bitnami/prestashop/mails/pl/guest_to_customer.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template guest_to_customer at /opt/bitnami/prestashop/mails/pl/guest_to_customer.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template import at /opt/bitnami/prestashop/mails/pl/import.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template import at /opt/bitnami/prestashop/mails/pl/import.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template in_transit at /opt/bitnami/prestashop/mails/pl/in_transit.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template in_transit at /opt/bitnami/prestashop/mails/pl/in_transit.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template log_alert at /opt/bitnami/prestashop/mails/pl/log_alert.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template log_alert at /opt/bitnami/prestashop/mails/pl/log_alert.txt [] []
[2019-12-04 10:26:32] app.INFO: Generate html template newsletter at /opt/bitnami/prestashop/mails/pl/newsletter.html [] []
[2019-12-04 10:26:32] app.INFO: Generate txt template newsletter at /opt/bitnami/prestashop/mails/pl/newsletter.txt [] []
